Category,Main Venue,Start Time,Featured Artists
Visual Arts,Gujarat University,5:00 PM,"Sai Karnekota, Nirmal Mondal, Mansi Shah, Nithin Kumar J, Soha Gandhi, Saloni Gajjar, Bulbuldas, Kiran Tamboskar, Yash Vyas, Saket Vishwakarma, Radha Devpura, Nisha Vikram, Raji Devta, Khanjan Dalal, Maulik Oza, Pratishtha Kulkarni, Tanvi Waghela, Manmita Ray, Achyut Siddu & Apoorva Mishra, Parita vora, Dishakha Yadav, Neel Gajjar, Suvankar Baral, Sudip Mondal, Parag Das, Riya Chandwani, Harshal khatri, Adnan Kamal, Amit Ashara, Bhoomi Sagpariya, Anup Shrivastava, Vijay Singh Beniwal, Khushi Patel, Souvik Halder, Nitin Kumar, Bedamati Majhi, Chinank Pasricha, Shreya Singh & Chandni Chhabra, Arindam Manna, Yasha Shrivastava, Sangita Khalsa"
Visual Arts,ATIRA,5:00 PM,"Kaavya Pawar, Parmar Gopal, Utkarsh Shakya, Maitreyee Nimbolkar, Shivendra Singh, Sweety Rani, Chintan S Chaudhari, Dhruvil Bavadiya, Anirban patra, Satyam Acharya, Supriyo Manna, Nishant Kumar, Ananya Kumari, Kanhaiya Trivedi, Subhankar Chakraborty, Aditya Dhabhai"
Visual Arts,Shreyas Foundation,5:00 PM,"Prithwish Daw, Manav N Timbliaya, Tanya Sharma, Mona sharma, Ridam kumar, Suvradeep Samanta, Himanshu Ghosh, Yashvi, Uddhav & Mandeep, Megha Singh, Nayan Shrimali & Venus Bird, Aditya Sharma, Sanayvi Naik"
